scope,family,model,n_pairs,mean_rel_naive_delta,median_rel_naive_delta,win_rate_rel_naive,mean_mase_delta,median_mase_delta,win_rate_mase,mean_mae_delta,median_mae_delta,win_rate_mae,mean_pocid_delta,median_pocid_delta,win_rate_pocid
combined_monthly|seasonality_evolution|Medium,mlforecast,auto_xgb,332,0.01365537998498994,0.014881311479794074,0.5210843373493976,0.0014421366700876027,0.016405647678112645,0.5210843373493976,-44.73182899401721,2.485316321541039,0.5210843373493976,0.09119812583668005,0.05555555555555558,0.6144578313253012
combined_monthly|seasonality_evolution|Medium,neuralforecast,auto_lstm,332,-0.0033706907421619118,0.027775176933128476,0.5421686746987951,0.027584008396428397,0.024050603442099028,0.5421686746987951,15.346505860872535,8.162157110133627,0.5421686746987951,0.08584337349397589,0.11111111111111105,0.6174698795180723
combined_monthly|seasonality_evolution|Medium,neuralforecast,auto_nhits,332,-0.09666173589752182,-0.06065559534722226,0.40963855421686746,-0.04937989394769341,-0.0579425960595516,0.40963855421686746,-61.00533275809754,-12.533955828754529,0.40963855421686746,0.005689424364123158,0.0,0.3825301204819277
combined_monthly|seasonality_evolution|Medium,neuralforecast,auto_nlinear,332,0.07135587390794686,0.08147731341113451,0.5813253012048193,0.20721269711560517,0.06958152631156989,0.5813253012048193,63.01094499911132,14.625789503336804,0.5813253012048193,0.08785140562248994,0.08333333333333331,0.6234939759036144
combined_monthly|seasonality_evolution|Medium,statistical,auto_arima,332,-0.019163991589091003,0.03805293822835065,0.5421686746987951,0.08816054360696401,0.04030072192018036,0.5421686746987951,20.28472667812825,8.668899480266857,0.5421686746987951,0.19093038821954486,0.16666666666666663,0.677710843373494
combined_monthly|seasonality_evolution|Medium,statistical,auto_ets,332,-0.08758790512859756,-0.03996053263052274,0.3855421686746988,-0.0075172848042350995,-0.038486338315593116,0.3855421686746988,-26.391108033821183,-9.231628700758193,0.3855421686746988,0.13253012048192772,0.05555555555555555,0.5331325301204819
combined_monthly|seasonality_evolution|Medium,statistical,auto_sarima,332,-0.16882884925404398,-0.05606086202140251,0.39759036144578314,-0.11654797756719991,-0.05148832720647584,0.39759036144578314,-39.21583264817923,-12.117103389263463,0.39759036144578314,0.06994645247657297,0.0,0.46987951807228917
combined_monthly|seasonality_evolution|Medium,transformer,auto_patchtst,332,0.026645034407162475,0.01195899770449288,0.5120481927710844,0.08432019755941189,0.007401365079802241,0.5120481927710844,5.129655699912565,2.6150201145605934,0.5120481927710844,0.09822623828647924,0.11111111111111105,0.6325301204819277
combined_monthly|seasonality_evolution|Medium,transformer,auto_tft,332,-0.0917302930254803,-0.02610929313389232,0.4608433734939759,-0.019829694468232913,-0.022294052812348947,0.4608433734939759,-41.74524612653794,-3.5543349421569204,0.4608433734939759,0.04451137884872825,0.055555555555555525,0.5271084337349398
combined_quarterly|seasonality_evolution|High,mlforecast,auto_lr,404,0.43191644913890814,0.1441821811411398,0.6683168316831684,0.25203998286612783,0.13184402468069156,0.6683168316831684,65.76544417662849,41.42773542761199,0.6683168316831684,0.001547029702970297,0.0,0.36633663366336633
combined_quarterly|seasonality_evolution|High,mlforecast,auto_rf,404,0.04854796986451349,0.022271936414743176,0.5445544554455446,0.008808310135873614,0.01623358984086759,0.5445544554455446,22.49436852094001,8.729049462600528,0.5445544554455446,0.06311881188118812,0.0,0.44554455445544555
combined_quarterly|seasonality_evolution|High,mlforecast,auto_ridge,404,0.3959948590054947,0.13828035949086548,0.6732673267326733,0.23141576404448586,0.11948227160734362,0.6732673267326733,62.39866487708643,35.85129308742472,0.6732673267326733,0.003094059405940594,0.0,0.3787128712871287
combined_quarterly|seasonality_evolution|High,mlforecast,auto_xgb,404,-0.00023589596539658802,0.0030930056899467484,0.5074257425742574,-0.026099693663637017,0.002646774626011761,0.5074257425742574,-7.557185855215372,0.6850624750802154,0.5074257425742574,0.08013613861386139,0.125,0.5222772277227723
combined_quarterly|seasonality_evolution|High,neuralforecast,auto_lstm,404,-0.11800118989498917,-0.016662429247826016,0.46534653465346537,-0.04742387498313818,-0.01277014257580053,0.46534653465346537,-25.336882619823278,-3.8762998644774314,0.46534653465346537,0.021967821782178217,0.0,0.3886138613861386
combined_quarterly|seasonality_evolution|High,neuralforecast,auto_nhits,404,-0.11653975282593305,-0.08668947446381702,0.38613861386138615,-0.09776676256106773,-0.07648446041855647,0.38613861386138615,-30.612035634108267,-19.053471230006693,0.38613861386138615,-0.018873762376237623,0.0,0.2202970297029703
combined_quarterly|seasonality_evolution|High,neuralforecast,auto_nlinear,404,-0.03084791460611177,0.0361527618044577,0.594059405940594,0.007887901886132493,0.025319495331455,0.594059405940594,11.093842081100007,8.000097096095999,0.594059405940594,0.06837871287128713,0.0,0.4603960396039604
