week4_group,dataset,frequency,family,variant,model,n_series,rel_naive,median_rel_naive,mase,median_mase,mae,median_mae,pocid,median_pocid
combined_monthly,M3,Monthly,mlforecast,with_mstl,auto_xgb,500,1.0606589334833167,0.9681270044823499,1.0376008219276072,0.9226310400320668,757.4586577944217,545.7713685643143,0.5659791528055,0.5555555555555556
combined_monthly,M3,Monthly,mlforecast,without_mstl,auto_xgb,500,1.0679313536638861,0.9193046874999999,1.0416277379392322,0.8915287369980113,691.1244734719471,524.7367078993055,0.5463517409625194,0.5555555555555556
combined_monthly,M4,Monthly,neuralforecast,without_mstl,auto_nlinear,500,1.0871370561730225,1.0252051523416645,1.1317840148935692,0.9154327160321932,714.9614314138331,284.1516384548611,0.47360833887779996,0.5
combined_monthly,M4,Monthly,mlforecast,without_mstl,auto_rf,500,1.0910671190562047,0.9887339892624855,1.0637728370223798,0.8833923554182793,627.7415032889805,263.3243916696678,0.4427811044577512,0.4444444444444444
combined_monthly,M3,Monthly,mlforecast,without_mstl,auto_rf,500,1.0942434089721387,0.9202216024787541,1.0926530748325864,0.8881512382263729,702.8956894631693,518.4299593918996,0.5282767797737858,0.5555555555555556
combined_monthly,M4,Monthly,neuralforecast,with_mstl,auto_lstm,500,1.1120316016070275,0.9944924978671954,0.9357685117364878,0.8942553135862682,646.8444156090503,289.1910425267751,0.5836105566644489,0.6111111111111112
combined_monthly,M4,Monthly,neuralforecast,without_mstl,auto_lstm,500,1.1265171667226104,0.9785928600548713,0.9991931740244886,0.8959458518666361,667.6244641101139,276.5798079427083,0.5154136172100244,0.5
combined_monthly,M3,Monthly,transformer,without_mstl,auto_patchtst,500,1.1337876992073308,0.9830262941734813,1.1002541618554027,0.9808778903918842,753.3177400894824,562.3153211805555,0.5044355732978487,0.5
combined_monthly,M3,Monthly,baseline,without_mstl,seasonal_naive,500,1.1648081919692868,1.0489618263041136,1.0,1.0,779.7543529612865,574.7222222222222,0.5747394100687514,0.5555555555555556
combined_monthly,M4,Monthly,statistical,with_mstl,auto_sarima,500,1.2151744487755438,0.9590464898222221,1.0513094413078758,0.8749846255724584,636.4068427972644,257.3138693693654,0.5960301618984253,0.6111111111111112
combined_monthly,M4,Monthly,baseline,without_mstl,seasonal_naive,500,1.3065625635160634,1.130831758533922,1.0,1.0,710.4875268378019,323.3333333333333,0.5687513861166557,0.5555555555555556
combined_quarterly,M4,Quarterly,transformer,without_mstl,auto_tft,500,0.8883128575608955,0.8441344314247347,0.8609094369609992,0.7453285093945125,478.28950042473383,226.7069091796875,0.6542397660818714,0.625
combined_quarterly,M4,Quarterly,neuralforecast,without_mstl,auto_nhits,500,0.9004045477918562,0.8595490828804347,0.8597036804841239,0.7492476095138971,453.6263512077902,221.8658447265625,0.6617933723196882,0.625
combined_quarterly,M4,Quarterly,transformer,with_mstl,auto_tft,500,0.9395784618885342,0.8743649409298057,0.87857952202696,0.7747550174216282,520.4688649037464,238.0905644598806,0.6337719298245614,0.625
combined_quarterly,M4,Quarterly,statistical,without_mstl,auto_ets,500,0.9451458879670342,0.9479624741350242,0.8816342701398896,0.7691218518898113,468.86614492894165,238.0229478031913,0.5250974658869396,0.625
combined_quarterly,M4,Quarterly,neuralforecast,with_mstl,auto_nhits,500,0.9952182543255921,0.8408398630791403,0.921765093658406,0.7904445285284597,526.3940351776389,231.41292536451476,0.6430311890838206,0.625
combined_quarterly,M3,Quarterly,transformer,without_mstl,auto_patchtst,500,1.001356858697282,0.993430734877771,1.1423981777134813,0.8687849400740025,609.443215082031,354.1116638183594,0.5489766081871345,0.5
